arc,trucks
"(1, 6)",1.0
"(2, 3)",1.0
"(3, 8)",1.0
"(4, 9)",1.0
"(5, 4)",1.0
"(6, 1)",1.0
"(6, 7)",1.0
"(6, 11)",2.0
"(7, 8)",1.0
"(8, 3)",2.0
"(8, 7)",1.0
"(8, 9)",1.0
"(8, 13)",1.0
"(9, 4)",1.0
"(9, 8)",2.0
"(9, 14)",1.0
"(10, 5)",1.0
"(10, 15)",1.0
"(11, 12)",1.0
"(11, 16)",3.0
"(12, 11)",1.0
"(12, 13)",1.0
"(12, 17)",1.0
"(13, 8)",1.0
"(13, 18)",1.0
"(14, 9)",2.0
"(14, 15)",2.0
"(14, 19)",1.0
"(15, 10)",2.0
"(15, 14)",1.0
"(16, 11)",1.0
"(16, 17)",1.0
"(16, 21)",2.0
"(17, 12)",1.0
"(17, 18)",2.0
"(18, 17)",1.0
"(18, 19)",5.0
"(18, 23)",3.0
"(19, 14)",3.0
"(19, 18)",2.0
"(19, 20)",1.0
"(20, 15)",1.0
"(20, 19)",1.0
"(20, 25)",2.0
"(21, 16)",3.0
"(21, 22)",1.0
"(22, 21)",3.0
"(22, 23)",1.0
"(23, 18)",1.0
"(23, 22)",3.0
"(23, 24)",1.0
"(24, 23)",1.0
"(24, 25)",1.0
"(25, 24)",1.0
